"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "HTML", "Markdown", "CSS", "TypeScript JSX", "comment", "blank", "total"
"d:\workspace\brainless-jellyfish\src\index.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 5, 13
"d:\workspace\brainless-jellyfish\src\interfaces\ComponentData.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\workspace\brainless-jellyfish\src\interfaces\ConnectingWords.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 2, 5, 23
"d:\workspace\brainless-jellyfish\src\interfaces\ErrorData.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\workspace\brainless-jellyfish\src\interfaces\EventData.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\workspace\brainless-jellyfish\src\interfaces\options.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\workspace\brainless-jellyfish\src\manager\AutoRoleButtonManager.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 3, 8, 40
"d:\workspace\brainless-jellyfish\src\manager\ComponentManager.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 12, 59
"d:\workspace\brainless-jellyfish\src\manager\GuildAutoRoleButtonManager.ts", "TypeScript", 0, 273, 0, 0, 0, 0, 0, 0, 0, 46, 319
"d:\workspace\brainless-jellyfish\src\manager\commandManager.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 3, 16, 71
"d:\workspace\brainless-jellyfish\src\manager\command\CommandLoader.ts", "TypeScript", 0, 206, 0, 0, 0, 0, 0, 0, 0, 43, 249
"d:\workspace\brainless-jellyfish\src\manager\connectorManager.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 0, 0, 0, 13, 71
"d:\workspace\brainless-jellyfish\src\manager\event\EventLoader.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 8, 14
"d:\workspace\brainless-jellyfish\src\manager\event\EventManager.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\workspace\brainless-jellyfish\src\manager\games\ConnectingWordChannelManager.ts", "TypeScript", 0, 120, 0, 0, 0, 0, 0, 0, 0, 15, 135
"d:\workspace\brainless-jellyfish\src\manager\games\connectingWordGuildHandler.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"d:\workspace\brainless-jellyfish\src\manager\guild\GuildManager.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 7, 33
"d:\workspace\brainless-jellyfish\src\manager\message\MessageTrafficManager.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 6, 36
"d:\workspace\brainless-jellyfish\src\manager\message\MessageTrafficTracker.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 7, 32
